match_number,red_agent,blue_agent,elo_red_after,elo_blue_after
1,joMcts.py,baselineTeam.py,1516.0,1484.0
2,baselineTeam.py,joMcts.py,1469.47,1530.53
3,priya_heu_2.py,priya_heu.py,1484.0,1516.0
4,priya_heu.py,priya_heu_2.py,1498.53,1501.47
5,joMcts.py,priya_heu.py,1513.06,1516.0
6,priya_heu.py,joMcts.py,1499.86,1529.2
7,HeuristicTeam.py,_joMcts_jia_.py,1484.0,1516.0
8,_joMcts_jia_.py,HeuristicTeam.py,1498.53,1501.47
9,joMcts.py,joAgent2.py,1511.85,1517.34
10,joAgent2.py,joMcts.py,1533.09,1496.11
11,joMcts.py,HeuristicTeam.py,1496.35,1501.22
12,HeuristicTeam.py,joMcts.py,1517.0,1480.58
13,joMcts.py,_joMcts_jia_.py,1497.4,1481.7
14,_joMcts_jia_.py,joMcts.py,1466.43,1512.68
15,priya_heu.py,_joMcts_jia_.py,1514.33,1451.96
16,_joMcts_jia_.py,priya_heu.py,1438.8,1527.49
17,priya_heu_2.py,joAgent.py,1517.4,1484.07
18,joAgent.py,priya_heu_2.py,1501.6,1499.87
19,baselineTeam.py,priya_heu.py,1456.12,1540.84
20,priya_heu.py,baselineTeam.py,1553.01,1443.94
21,priya_heu.py,HeuristicTeam.py,1567.36,1502.65
22,HeuristicTeam.py,priya_heu.py,1489.6,1580.42
23,priya_heu_2.py,joMcts.py,1484.46,1528.09
24,joMcts.py,priya_heu_2.py,1542.09,1470.46
25,joAgent.py,joMcts.py,1487.45,1556.24
26,joMcts.py,joAgent.py,1569.11,1474.58
27,joAgent2.py,priya_heu.py,1551.25,1562.25
28,priya_heu.py,joAgent2.py,1545.74,1567.76
29,joAgent.py,HeuristicTeam.py,1459.27,1504.91
30,HeuristicTeam.py,joAgent.py,1502.82,1461.36
31,priya_heu_2.py,joAgent2.py,1458.83,1579.39
32,joAgent2.py,priya_heu_2.py,1590.05,1448.17
33,baselineTeam.py,_joMcts_jia_.py,1427.71,1455.04
34,_joMcts_jia_.py,baselineTeam.py,1469.78,1412.96
35,priya_heu_2.py,_joMcts_jia_.py,1433.16,1484.79
36,_joMcts_jia_.py,priya_heu_2.py,1498.43,1419.52
37,priya_heu_2.py,HeuristicTeam.py,1407.29,1515.05
38,HeuristicTeam.py,priya_heu_2.py,1526.24,1396.09
39,joAgent.py,baselineTeam.py,1475.15,1399.18
40,baselineTeam.py,joAgent.py,1386.62,1487.7
41,priya_heu_2.py,baselineTeam.py,1411.66,1371.06
42,baselineTeam.py,priya_heu_2.py,1356.92,1425.8
43,baselineTeam.py,HeuristicTeam.py,1348.15,1535.01
44,HeuristicTeam.py,baselineTeam.py,1543.15,1340.01
45,joAgent2.py,baselineTeam.py,1596.19,1333.88
46,baselineTeam.py,joAgent2.py,1328.09,1601.98
47,joAgent2.py,HeuristicTeam.py,1615.29,1529.83
48,HeuristicTeam.py,joAgent2.py,1549.69,1595.44
49,joAgent.py,joAgent2.py,1476.51,1606.63
50,joAgent2.py,joAgent.py,1584.9,1498.24
51,joAgent2.py,_joMcts_jia_.py,1565.0,1518.33
52,_joMcts_jia_.py,joAgent2.py,1504.47,1578.86
53,joAgent.py,priya_heu.py,1516.41,1527.57
54,priya_heu.py,joAgent.py,1511.06,1532.93
55,joAgent.py,_joMcts_jia_.py,1547.62,1489.78
56,_joMcts_jia_.py,joAgent.py,1476.41,1560.98
1,baselineTeam.py,priya_heu.py,1319.82,1519.33
2,priya_heu.py,baselineTeam.py,1527.04,1312.11
3,joAgent2.py,HeuristicTeam.py,1561.52,1567.03
4,HeuristicTeam.py,joAgent2.py,1550.78,1577.78
5,baselineTeam.py,_joMcts_jia_.py,1303.16,1485.37
6,_joMcts_jia_.py,baselineTeam.py,1493.67,1294.86
7,priya_heu_2.py,joAgent.py,1415.73,1571.05
8,joAgent.py,priya_heu_2.py,1564.34,1422.44
9,priya_heu_2.py,joAgent2.py,1413.15,1587.06
10,joAgent2.py,priya_heu_2.py,1595.66,1404.55
11,priya_heu_2.py,_joMcts_jia_.py,1392.57,1505.65
12,_joMcts_jia_.py,priya_heu_2.py,1484.62,1413.6
13,joAgent.py,_joMcts_jia_.py,1576.73,1472.23
14,_joMcts_jia_.py,joAgent.py,1492.9,1556.06
15,joMcts.py,baselineTeam.py,1574.58,1289.39
16,baselineTeam.py,joMcts.py,1284.19,1579.77
17,joAgent2.py,_joMcts_jia_.py,1607.06,1481.5
